Group,Values
0,coat
0,jacket
1,blazer
2,hoodies
2,sweater
2,sweatshirt
3,vest
4,cardigan
5,raincoat
5,windbreaker
6,jeans
6,denim pants
7,palazzo
8,pants
8,trousers
9,sweatpants
9,joggers
9,trackpants
10,leggings
10,compression pants
10,tights
11,jumpsuits
11,bodysuits
11,overall
12,playsuits
13,singlet
13,tank tops
13,camisole
14,shapewear
14,corset
15,panty-hose
15,stocking
16,panties
17,brief
18,shorts
18,hot pants
19,trunks
19,boxer
20,bandage bra
20,sport bra
20,push-up
20,silicone bra
20,nipple cover
20,bikini
21,night gown
21,baju tidur
21,night dress
21,pyjamas
22,swimsuit
22,bikini
22,diving suit
22,board shorts
22,rash guard
23,baju kurung
23,baju kebaya
23,baju kemeja
24,blouse muslimah
24,jubah muslimah
25,telekung
25,sejadah
26,saree
26,anarkali
26,punjabi suit
27,baju melayu
28,cheongsam
29,shirt
29,t-shirt
29,kurta
29,button up
29,polo
29,baju
30,dress
30,gown
30,mini dress
31,skirt
32,skorts
32,shorts
33,blouse
33,crop top
33,peplum
34,hats
34,caps
34,visors
34,bonnets
35,hijab
35,shawl
35,scarves
35,pashmina
35,bandana
35,headband
35,tudung
36,beanie
36,balaclava
36,ski mask
36,innerscarf
37,helmet
37,safety hat
37,miner hat
38,earring
38,ear cuffs
39,spectacles
39,sunglasses
39,eye patch
39,glasses
39,cermin mata
39,shades
40,contact lens
41,necklace
41,neck pendant
41,neck choker
42,necktie
42,bow tie
43,belts
43,waist chain
43,suspenders
44,brooch
44,cincin
44,diamond ring
44,gold ring
44,silver ring
44,gold pin
44,silver pin
45,shoes
45,sneakers
45,plimsolls
45,slip on
45,low tops
46,flip flops
46,sandals
46,slipper
46,selipar
47,boots
47,heels
47,wedges
47,platform
47,high-tops
48,oxford
48,espadrilles
48,brogue
48,loafers
49,sport shoes
49,spike
49,futsal shoes
49,toe shoes
49,hiking boots
49,skiing boots
49,wet shoes
49,safety boots
49,swimfin
50,flats
50,ballet flats
51,socks
51,socks shoes
52,spray
52,mist
52,deodorant
52,edt
52,edp
52,fragrance
52,cologne
52,perfume
52,minyak wangi
52,pen perfume
53,supplement pil
53,supplement tablets
53,supplement drinks
54,fat burner
54,protein powder
55,compact powder
55,loose powder
55,foundation concealer
55,bb cream
55,bb cushion
55,blusher
56,shading
56,highlight stick
56,contour stick
56,contour cream
56,cream blusher
56,blusher stick
56,blusher tint
56,cheek stain
57,cream eye shadow
57,eyeshadow stick
57,eyebrow pencil
57,eyeshadow pen
57,eyeliner pen
58,mascara
58,eyelashes glue
58,eyelid tape
58,fake eyelashes
58,falsies
58,eyelash curler
59,make-up brush
59,make-up sets
59,make-up sponges
59,facial sponges
59,foundation sponges
59,beauty sponges
59,beauty blender
59,facial tool
60,hair dryer
60,hair straightener
60,hair curler
60,hair comb
61,lipstick
61,lipbalm
61,lip liner
61,lip gloss
61,lip tint
61,lip stain
62,styling wax
62,hair pomade
62,hair spray
62,styling gel
62,dry shampoo
62,hair perfume
62,hair oil
62,hair mask
62,hair vitamin
62,hair serum
62,hair treatment
63,electric toothbrush
63,mouth toothbrush
63,toothpaste
63,dental equipment
63,mouthwash
63,teeth floss
64,feminine wash
65,adult toy
65,sex toy
65,dildo
65,vibrator
65,condom
65,lubricant
65,kondom
65,minyak lintah
66,razor blade
66,electric shaver
66,hair removal wax
66,hair removal cream
67,sanitary pad
67,sanitary napkin
67,tampon
67,menstrual cup
68,sunscreen cream
68,sunblock lotion
68,sunblock cream
68,sunblock gel
69,skin lotion
69,body lotion
69,hand cream
69,oinment
69,skin serum
69,aloe vera gel
69,moisturizing gel
69,moisturizing cream
69,night cream
69,day cream
