Keyword,Group,Keyword_length
air conditioner accessories,261,27
kitchen storage organizers,175,26
handheld sewing machine,260,23
electric sewing machine,260,23
collectable merchandise,95,23
portable sewing machine,260,23
blood pressure monitor,74,22
phone wireless charger,116,22
bluetooth microphones,113,21
car bluetooth devices,126,21
baby head to toe wash,167,21
multi purpose pouches,212,21
clothes organization,188,20
internal hard drives,78,20
bath liquid cleanser,143,20
foundation concealer,55,20
water colour brushes,205,20
multipurpose cleaner,234,20
external hard drives,78,20
watch collection box,131,20
vacuum cleaner parts,274,20
kitchen food storage,175,20
transmission fluids,128,19
electric toothbrush,63,19
traditional laptops,91,19
stationary consoles,92,19
mechanical keyboard,86,19
lighting components,192,19
water colour pencil,206,19
pokemon merchandise,95,19
bluetooth headphone,111,19
bluetooth earphone,111,18
computer softwares,89,18
pedicure treatment,255,18
specialty lighting,192,18
traditional laptop,77,18
solid state drives,78,18
kitchen containers,175,18
dot metric printer,79,18
restaurant voucher,253,18
network converters,83,18
travel accessories,223,18
packing organizers,219,18
manicure treatment,255,18
wireless headphone,111,18
foundation sponges,59,18
moisturizing cream,69,18
artificial flowers,183,18
hair removal cream,66,18
educational puzzle,149,18
landline telephone,120,18
supplement tablets,53,18
bluetooth speakers,112,18
heart rate monitor,74,18
wireless keyboard,86,17
baby milk formula,168,17
packing organizer,222,17
wireless earphone,111,17
artificial plants,183,17
tv remote control,279,17
handheld scanners,80,17
printer cartridge,81,17
laundry detergent,234,17
bathroom lighting,192,17
receiving blanket,160,17
compression pants,10,17
carbonated drinks,241,17
hair straightener,60,17
handheld consoles,92,17
utilities payment,251,17
smartphone camera,124,17
baby moisturizers,165,17
chalkboard eraser,207,17
whiteboard eraser,207,17
blackboard duster,207,17
kitchen canisters,175,17
supplement drinks,53,17
helmet motorcycle,130,17
designing desktop,76,17
electric keyboard,103,17
chronograph watch,132,17
lighting fixtures,192,17
adult milk powder,241,17
blackhead remover,72,17
baking flavoring,248,16
baby thermometer,163,16
bathroom mirrors,197,16
flatbed scanners,80,16
bathroom cabinet,197,16
cream eye shadow,57,16
moisturizing gel,69,16
kitchen cleaners,234,16
outdoor lighting,192,16
face moisturizer,71,16
fluorescent tube,193,16
shopping voucher,252,16
mouth toothbrush,63,16
sheetfed scanner,80,16
dental equipment,63,16
designing laptop,77,16
network adapters,83,16
kids supplements,168,16
maternity creams,165,16
hair removal wax,66,16
digital calendar,204,16
bathroom storage,197,16
baking sheet pan,179,16
screen protector,121,16
fold over purses,212,16
traditional iron,276,16
dart accessories,99,16
outdoor backpack,214,16
makeup organizer,223,16
surround speaker,269,16
speaker soundbar,269,16
lounge furniture,173,16
storage cabinets,189,16
measuring spoons,179,16
patchwork fabric,210,16
portable aircond,261,16
measurement tape,208,16
fruit extractors,256,16
garment steamers,276,16
permanent marker,205,16
bathroom shelves,197,16
passport holder,212,15
sanitary napkin,67,15
maternity dress,164,15
rubbing alcohol,165,15
blouse muslimah,24,15
extension cable,199,15
maternity pants,164,15
home amplifiers,268,15
cadar patchwork,176,15
audio receivers,268,15
building blocks,148,15
building puzzle,148,15
phone usb cable,116,15
dried vegetable,238,15
facial cleanser,71,15
sunblock lotion,68,15
highlight stick,56,15
fitness tracker,117,15
whitening cream,69,15
water dispenser,271,15
android tablets,119,15
nursing pillows,164,15
electric shaver,66,15
sunscreen cream,68,15
baby shower gel,167,15
toilet cleaners,234,15
chocolate drink,245,15
laptop chargers,89,15
kitchen cabinet,170,15
gaming keyboard,86,15
gaming mousepad,85,15
shower curtains,195,15
sandwich makers,256,15
chopping boards,178,15
sunflower seeds,244,15
washing machine,277,15
ice cream maker,257,15
ventilation fan,262,15
pressure cooker,257,15
nasal aspirator,163,15
baking extracts,248,15
extension plugs,199,15
make-up sponges,59,15
air conditioner,261,15
laser projecter,82,15
wheeled luggage,222,15
eyeshadow stick,57,15
bathroom scales,198,15
postage service,249,15
hair treatment,62,14
privacy screen,121,14
instant camera,124,14
cordless phone,120,14
plugs adapters,199,14
tempered glass,121,14
sunblock cream,68,14
compact camera,124,14
gaming monitor,87,14
tablets 2-in-1,119,14
pet deodoriser,224,14
bottle feeding,141,14
gaming laptops,91,14
wireless mouse,84,14
floor cleaners,234,14
2-in-1 laptops,91,14
baby strollers,140,14
action figures,94,14
baby car seats,140,14
kids tank tops,137,14
baby tank tops,137,14
network cables,83,14
grooming wipes,224,14
facial essence,71,14
baby bodysuits,135,14
travel luggage,222,14
baby playsuits,135,14
inkjet printer,79,14
baby jumpsuits,135,14
analogue watch,132,14
gaming desktop,76,14
bracelet watch,132,14
early learning,146,14
monitor screen,87,14
pulse oximeter,74,14
weighing scale,75,14
stirring spoon,178,14
bed protectors,176,14
fake eyelashes,58,14
vacuum cleaner,274,14
eyebrow pencil,57,14
water purifier,271,14
instant coffee,246,14
compact powder,55,14
protein powder,54,14
supplement pil,53,14
baby detergent,166,14
thermal flasks,175,14
jubah muslimah,24,14
shopee voucher,252,14
bedroom mirror,169,14
dining voucher,253,14
travel voucher,254,14
clothes hanger,174,14
cleaning tools,174,14
stick blenders,256,14
dairy creamers,245,14
laundry basket,174,14
patio umbrella,173,14
coffee grinder,259,14
coffee machine,259,14
food processor,257,14
eyelashes glue,58,14
ceiling lights,192,14
beauty blender,59,14
eyelash curler,58,14
beauty sponges,59,14
facial sponges,59,14
measuring cups,179,14
canned coffee,246,13
top-up coupon,250,13
colour pencil,205,13
hotel voucher,254,13
